storm_time,forecast_horizon_h,predicted_flux,predicted_risk,actual_flux,actual_risk,correct_risk
2023-09-19 00:00:00+00:00,24,75.4144,Elevated,515.0,Storm,False
2023-09-24 18:00:00+00:00,24,71.6815,Elevated,79.0,Elevated,True
2023-11-05 09:00:00+00:00,24,174.8989,Storm,293.0,Storm,True
2023-11-25 18:00:00+00:00,24,213.7774,Storm,498.0,Storm,True
2023-12-01 09:00:00+00:00,24,188.5031,Storm,290.0,Storm,True
2023-12-18 06:00:00+00:00,24,178.3314,Storm,233.0,Storm,True
2024-03-03 18:00:00+00:00,24,155.8933,Storm,,Unknown,False
2024-03-23 21:00:00+00:00,24,38.5399,Elevated,,Unknown,False
2024-03-24 12:00:00+00:00,24,142.0132,Storm,,Unknown,False
2024-04-19 18:00:00+00:00,24,81.2916,Elevated,,Unknown,False
2024-05-02 15:00:00+00:00,24,161.4755,Storm,,Unknown,False
2024-05-10 15:00:00+00:00,24,156.5243,Storm,,Unknown,False
2024-05-12 21:00:00+00:00,24,110.2041,Storm,,Unknown,False
2024-05-16 06:00:00+00:00,24,60.6533,Elevated,,Unknown,False
2024-05-17 18:00:00+00:00,24,82.4792,Elevated,,Unknown,False
2024-06-07 12:00:00+00:00,24,263.6986,Storm,,Unknown,False
2024-06-28 09:00:00+00:00,24,228.009,Storm,,Unknown,False
2024-08-04 12:00:00+00:00,24,35.0552,Elevated,,Unknown,False
2024-08-12 00:00:00+00:00,24,165.7542,Storm,,Unknown,False
2024-08-17 15:00:00+00:00,24,116.9224,Storm,,Unknown,False
2024-08-28 00:00:00+00:00,24,69.2227,Elevated,,Unknown,False
2024-09-12 09:00:00+00:00,24,91.8819,Elevated,,Unknown,False
2024-09-13 21:00:00+00:00,24,195.4917,Storm,,Unknown,False
2024-09-17 00:00:00+00:00,24,80.6224,Elevated,,Unknown,False
2024-10-07 12:00:00+00:00,24,89.587,Elevated,,Unknown,False
2024-10-10 15:00:00+00:00,24,274.8871,Storm,,Unknown,False
